Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-19,Thursday,Indigo,6E-535,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.4167,4.0,10565.0
2023-01-19,Thursday,Indigo,6E-989,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.5,4.0,11757.0
2023-01-21,Saturday,GO FIRST,G8-3538,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,8.4167,6.0,13985.0
2023-01-23,Monday,Air India,AI-709,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,8.4167,8.0,12912.0
2023-01-23,Monday,Air India,AI-729,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.9167,8.0,13542.0
2023-01-26,Thursday,SpiceJet,SG-893,Economy,Kolkata,6 AM - 12 PM,1-stop,6 AM - 12 PM,Delhi,24.6667,11.0,7248.0
2023-02-01,Wednesday,SpiceJet,SG-497,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.75,17.0,6929.0
2023-02-01,Wednesday,Indigo,6E-271,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.5833,17.0,11810.0
2023-02-02,Thursday,Indigo,6E-6154,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.8333,18.0,11566.0
2023-02-16,Thursday,Indigo,6E-713,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.5,32.0,8295.0
